subject,relation,object,sentence
cell,is smallest unit of,living thing,A cell is the smallest unit of a living thing.
organism,is called,bacteria,"Whether comprised of one cell (like bacteria) or many cells (like a human), we call it an organism."
organism,is called,human,"Whether comprised of one cell (like bacteria) or many cells (like a human), we call it an organism."
cells,are building blocks of,organisms,"Thus, cells are the basic building blocks of all organisms."
cells,form,tissues,Several cells of one kind that interconnect with each other and perform a shared function form tissues.
tissues,perform,shared function,Several cells of one kind that interconnect with each other and perform a shared function form tissues.
cells,interconnect with,each other,Several cells of one kind that interconnect with each other and perform a shared function form tissues.
tissues,combine to form,organ,"These tissues combine to form an organ (your stomach, heart, or brain), and several organs comprise an organ system (such as the digestive system, circulatory system, or nervous system)."
organ,comprise,organ system,"These tissues combine to form an organ (your stomach, heart, or brain), and several organs comprise an organ system (such as the digestive system, circulatory system, or nervous system)."
stomach,is an organ of,digestive system,"These tissues combine to form an organ (your stomach, heart, or brain), and several organs comprise an organ system (such as the digestive system, circulatory system, or nervous system)."
heart,is an organ of,circulatory system,"These tissues combine to form an organ (your stomach, heart, or brain), and several organs comprise an organ system (such as the digestive system, circulatory system, or nervous system)."
brain,is an organ of,nervous system,"These tissues combine to form an organ (your stomach, heart, or brain), and several organs comprise an organ system (such as the digestive system, circulatory system, or nervous system)."
systems,form organism,human being,Several systems that function together form an organism (like a human being).
systems,function together,organism,Several systems that function together form an organism (like a human being).
cells,have,structure,"Here, we will examine the structure and function of cells."
cells,perform,function,"Here, we will examine the structure and function of cells."
structure,determines,function,"Here, we will examine the structure and function of cells."
animal cells,classified as,eukaryotic cells,"For example, we classify both animal and plant cells as eukaryotic cells; whereas, we classify bacterial cells as prokaryotic."
plant cells,classified as,eukaryotic cells,"For example, we classify both animal and plant cells as eukaryotic cells; whereas, we classify bacterial cells as prokaryotic."
bacterial cells,classified as,prokaryotic,"For example, we classify both animal and plant cells as eukaryotic cells; whereas, we classify bacterial cells as prokaryotic."
biologists,study,cells,"Before discussing the criteria for determining whether a cell is prokaryotic or eukaryotic, we will first examine how biologists study cells."
cell,has type,prokaryotic,"Before discussing the criteria for determining whether a cell is prokaryotic or eukaryotic, we will first examine how biologists study cells."
cell,has type,eukaryotic,"Before discussing the criteria for determining whether a cell is prokaryotic or eukaryotic, we will first examine how biologists study cells."
Cells,vary in size,,Cells vary in size.
scientists,use,microscopes,"With few exceptions, we cannot see individual cells with the naked eye, so scientists use microscopes (micro- = ""small""; -scope = ""to look at"") to study them."
microscopes,study,cells,"With few exceptions, we cannot see individual cells with the naked eye, so scientists use microscopes (micro- = ""small""; -scope = ""to look at"") to study them."
microscope,is instrument for magnifying,object,A microscope is an instrument that magnifies an object.
we,photograph with,microscope,"We photograph most cells with a microscope, so we can call these images micrographs."
we,call,micrographs,"We photograph most cells with a microscope, so we can call these images micrographs."
microscope,has lenses,lenses,The optics of a microscope's lenses change the image orientation that the user sees.
lenses,change image orientation of,user,The optics of a microscope's lenses change the image orientation that the user sees.
specimen,is placed on,microscope slide,"A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
one,views through,microscope,"A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
microscope,flips image of,specimen,"A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
one,moves slide left while looking through,microscope,"Similarly, if one moves the slide left while looking through the microscope, it will appear to move right, and if one moves it down, it will seem to move up."
microscope,seems to move up when one moves slide down,one,"Similarly, if one moves the slide left while looking through the microscope, it will appear to move right, and if one moves it down, it will seem to move up."
one,moves slide down while looking through,microscope,"Similarly, if one moves the slide left while looking through the microscope, it will appear to move right, and if one moves it down, it will seem to move up."
microscope,appears to move right when one moves slide left,one,"Similarly, if one moves the slide left while looking through the microscope, it will appear to move right, and if one moves it down, it will seem to move up."
microscopes,use lenses to magnify,image,This occurs because microscopes use two sets of lenses to magnify the image.
two lens system,produces,inverted image,"Because of the manner by which light travels through the lenses, this two lens system produces an inverted image (binocular, or dissecting microscopes, work in a similar manner, but include an additional magnification system that makes the final image appear to be upright)."
binocular microscopes,work in a similar manner as two lens system,include additional magnification system,"Because of the manner by which light travels through the lenses, this two lens system produces an inverted image (binocular, or dissecting microscopes, work in a similar manner, but include an additional magnification system that makes the final image appear to be upright)."
additional magnification system,makes,final image appear to be upright,"Because of the manner by which light travels through the lenses, this two lens system produces an inverted image (binocular, or dissecting microscopes, work in a similar manner, but include an additional magnification system that makes the final image appear to be upright)."
human,has characteristic,red blood cell,"To give you a sense of cell size, a typical human red blood cell is about eight millionths of a meter or eight micrometers (abbreviated as eight μm) in diameter."
red blood cell,has size,eight micrometers,"To give you a sense of cell size, a typical human red blood cell is about eight millionths of a meter or eight micrometers (abbreviated as eight μm) in diameter."
eight micrometers,is abbreviated as,eight μm,"To give you a sense of cell size, a typical human red blood cell is about eight millionths of a meter or eight micrometers (abbreviated as eight μm) in diameter."
eight μm,is a unit of,length,"To give you a sense of cell size, a typical human red blood cell is about eight millionths of a meter or eight micrometers (abbreviated as eight μm) in diameter."
meter,is a unit of,length,"To give you a sense of cell size, a typical human red blood cell is about eight millionths of a meter or eight micrometers (abbreviated as eight μm) in diameter."
pin head,has diameter,two thousandths of a meter,A pin head is about two thousandths of a meter (two mm) in diameter.
pin head,has diameter,two mm,A pin head is about two thousandths of a meter (two mm) in diameter.
red blood cells,can fit on,pinhead,That means about 250 red blood cells could fit on a pinhead.
student microscopes,are,light microscopes,Most student microscopes are light microscopes (Figure 4.2a).
student microscopes,have,Figure 4.2a,Most student microscopes are light microscopes (Figure 4.2a).
Visible light,passes through,lens system,Visible light passes and bends through the lens system to enable the user to see the specimen.
Visible light,bends through,lens system,Visible light passes and bends through the lens system to enable the user to see the specimen.
user,sees,specimen,Visible light passes and bends through the lens system to enable the user to see the specimen.
Light microscopes,are advantageous for,viewing living organisms,"Light microscopes are advantageous for viewing living organisms, but since individual cells are generally transparent, their components are not distinguishable unless they are colored with special stains."
individual cells,are generally,transparent,"Light microscopes are advantageous for viewing living organisms, but since individual cells are generally transparent, their components are not distinguishable unless they are colored with special stains."
components of cells,are not distinguishable unless,colored with special stains,"Light microscopes are advantageous for viewing living organisms, but since individual cells are generally transparent, their components are not distinguishable unless they are colored with special stains."
Staining,kills,cells,"Staining, however, usually kills the cells."
