keywords,sentence
['form follows function'],"Have you ever heard the phrase ""form follows function?"""
['philosophy'],It's a philosophy that many industries follow.
"['architecture', 'buildings']","In architecture, this means that buildings should be constructed to support the activities that will be carried out inside them."
"['skyscraper', 'elevator banks']","For example, a skyscraper should include several elevator banks."
"['hospital', 'emergency room']",A hospital should have its emergency room easily accessible.
"['eukaryotic cells', 'cell biology', 'Figure 4.8']","Our natural world also utilizes the principle of form following function, especially in cell biology, and this will become clear as we explore eukaryotic cells (Figure 4.8)."
"['eukaryotic cells', 'prokaryotic cells', 'membrane-bound nucleus', 'endoplasmic reticulum', 'Golgi apparatus', 'chloroplasts', 'mitochondria', 'chromosomes']","Unlike prokaryotic cells, eukaryotic cells have: 1) a membrane-bound nucleus; 2) numerous membrane-bound organelles such as the endoplasmic reticulum, Golgi apparatus, chloroplasts, mitochondria, and others; and 3) several, rod-shaped chromosomes."
"['eukaryotic cell', 'membrane', 'nucleus', 'true nucleus']","Because a membrane surrounds eukaryotic cell's nucleus, it has a ""true nucleus."""
"['organelle', 'cellular functions']","The word ""organelle"" means ""little organ,"" and, as we already mentioned, organelles have specialized cellular functions, just as your body's organs have specialized functions."
"['eukaryotic cells', 'prokaryotic cells']","At this point, it should be clear to you that eukaryotic cells have a more complex structure than prokaryotic cells."
['Organelles'],Organelles allow different functions to be compartmentalized in different areas of the cell.
"['plasma membrane', 'cytoplasm', 'organelles']","Before turning to organelles, let's first examine two important components of the cell: the plasma membrane and the cytoplasm."
"['animal cell', 'eukaryotic plant cell', 'organelles']",These figures show the major organelles and other cell components of (a) a typical animal cell and (b) a typical eukaryotic plant cell.
"['plant cell', 'cell wall', 'chloroplasts', 'plastids', 'central vacuole', 'animal cells']","The plant cell has a cell wall, chloroplasts, plastids, and a central vacuole—structures not in animal cells."
"['lysosomes', 'centrosomes', 'cells']",Most cells do not have lysosomes or centrosomes.
"['nucleolus', 'cellular organelles']","If the nucleolus were not able to carry out its function, what other cellular organelles would be affected?"
"['eukaryotic cells', 'plasma membrane', 'Figure 4.9', 'phospholipid bilayer', 'proteins']","Like prokaryotes, eukaryotic cells have a plasma membrane (Figure 4.9), a phospholipid bilayer with embedded proteins that separates the internal contents of the cell from its surrounding environment."
"['phospholipid', 'lipid', 'fatty acid', 'phosphate-containing group']",A phospholipid is a lipid molecule with two fatty acid chains and a phosphate-containing group.
"['plasma membrane', 'organic molecules', 'ions', 'water', 'oxygen', 'cell']","The plasma membrane controls the passage of organic molecules, ions, water, and oxygen into and out of the cell."
"['carbon dioxide', 'ammonia', 'plasma membrane']",Wastes (such as carbon dioxide and ammonia) also leave the cell by passing through the plasma membrane.
"['eukaryotic', 'plasma membrane', 'phospholipid bilayer', 'proteins', 'cholesterol']",The eukaryotic plasma membrane is a phospholipid bilayer with proteins and cholesterol embedded in it.
"['Microvilli', 'small intestine']","Microvilli, as they appear on cells lining the small intestine, increase the surface area available for absorption."
"['plasma membrane', 'microvilli']",These microvilli are only on the area of the plasma membrane that faces the cavity from which substances will be absorbed.
"['New York', 'John F. Kennedy International Airport', 'JFK', 'Queens', 'Manhattan', 'Long Island', 'Brooklyn', 'Bronx', 'Staten Island', 'LaGuardia Airport', 'LGA']",.
"['organelles', 'cytosol', 'cytoskeleton', 'chemicals', 'Figure 4.8']","It is comprised of organelles suspended in the gel-like cytosol, the cytoskeleton, and various chemicals (Figure 4.8)."
"['cytoplasm', 'water', 'proteins']","Even though the cytoplasm consists of 70 to 80 percent water, it has a semi-solid consistency, which comes from the proteins within it."
"['proteins', 'organic molecules', 'cytoplasm']","However, proteins are not the only organic molecules in the cytoplasm."
"['glucose', 'simple sugars', 'polysaccharides', 'amino acids', 'nucleic acids', 'fatty acids', 'derivatives of glycerol']","Glucose and other simple sugars, polysaccharides, amino acids, nucleic acids, fatty acids, and derivatives of glycerol are also there."
"['sodium', 'potassium', 'calcium', 'cytoplasm', 'ions', 'elements']","Ions of sodium, potassium, calcium, and many other elements also dissolve in the cytoplasm."
"['cytoplasm', 'metabolic reactions', 'protein synthesis']","Many metabolic reactions, including protein synthesis, take place in the cytoplasm."
"['nucleus', 'organelle', 'cell', 'Figure 4.8']","Typically, the nucleus is the most prominent organelle in a cell (Figure 4.8)."
"['nucleus', 'DNA', 'ribosomes', 'proteins']",The nucleus (plural = nuclei) houses the cell's DNA and directs the synthesis of ribosomes and proteins.
['Figure 4.11'],Let's look at it in more detail (Figure 4.11).
"['nucleus', 'chromatin', 'DNA', 'proteins', 'nucleoplasm']",The nucleus stores chromatin (DNA plus proteins) in a gel-like substance called the nucleoplasm.
"['nucleolus', 'chromatin', 'ribosome synthesis']",The nucleolus is a condensed chromatin region where ribosome synthesis occurs.
"['nuclear envelope', 'nucleus']",We call the nucleus' boundary the nuclear envelope.
"['phospholipid bilayers', 'outer membrane', 'inner membrane']",It consists of two phospholipid bilayers: an outer and an inner membrane.
"['nuclear membrane', 'endoplasmic reticulum']",The nuclear membrane is continuous with the endoplasmic reticulum.
"['nuclear pores', 'nucleus']",Nuclear pores allow substances to enter and exit the nucleus.
"['nuclear envelope', 'double-membrane structure', 'nucleus', 'Figure 4.11']",The nuclear envelope is a double-membrane structure that constitutes the nucleus' outermost portion (Figure 4.11).
"['nuclear envelope', 'inner membrane', 'outer membrane', 'phospholipid bilayers']",Both the nuclear envelope's inner and outer membranes are phospholipid bilayers.
"['nuclear envelope', 'pores', 'ions', 'molecules', 'RNA', 'nucleoplasm', 'cytoplasm']","The nuclear envelope is punctuated with pores that control the passage of ions, molecules, and RNA between the nucleoplasm and cytoplasm."
"['nucleoplasm', 'nucleus', 'chromatin', 'nucleolus']","The nucleoplasm is the semi-solid fluid inside the nucleus, where we find the chromatin and the nucleolus."
"['chromatin', 'DNA', 'protein']",a) This image shows various levels of chromatin's organization (DNA and protein).
['chromosomes'],b) This image shows paired chromosomes.
"['nucleus', 'ribosomes']","We already know that the nucleus directs the synthesis of ribosomes, but how does it do this?"
"['chromosomes', 'DNA', 'ribosomal RNA']",Some chromosomes have sections of DNA that encode ribosomal RNA.
"['nucleolus', 'nucleoli', 'ribosomal RNA', 'ribosomal subunits', 'nuclear envelope', 'cytoplasm']",A darkly staining area within the nucleus called the nucleolus (plural = nucleoli) aggregates the ribosomal RNA with associated proteins to assemble the ribosomal subunits that are then transported out through the pores in the nuclear envelope to the cytoplasm.
"['Ribosomes', 'protein synthesis']",Ribosomes are the cellular structures responsible for protein synthesis.
"['ribosomes', 'electron microscope', 'polyribosomes', 'cytoplasm']","When we view them through an electron microscope, ribosomes appear either as clusters (polyribosomes) or single, tiny dots that float freely in the cytoplasm."
"['plasma membrane', 'cytoplasmic side', 'endoplasmic reticulum', 'nuclear envelope', 'outer membrane', 'Figure 4.8']",They may be attached to the plasma membrane's cytoplasmic side or the endoplasmic reticulum's cytoplasmic side and the nuclear envelope's outer membrane (Figure 4.8).
"['ribosomes', 'protein', 'RNA', 'subunits', 'Figure 4.13']","Electron microscopy shows us that ribosomes, which are large protein and RNA complexes, consist of two subunits, large and small (Figure 4.13)."
"['Ribosomes', 'nucleus', 'DNA', 'messenger RNA', 'protein synthesis']","Ribosomes receive their ""orders"" for protein synthesis from the nucleus where the DNA transcribes into messenger RNA (mRNA)."
"['mRNA', 'ribosomes', 'nitrogenous bases', 'amino acids', 'protein']","The mRNA travels to the ribosomes, which translate the code provided by the sequence of the nitrogenous bases in the mRNA into a specific order of amino acids in a protein."
"['amino acids', 'proteins']",Amino acids are the building blocks of proteins.
"['ribosomes', 'large subunit', 'small subunit']",A large subunit (top) and a small subunit (bottom) comprise ribosomes.
"['protein synthesis', 'ribosomes', 'amino acids', 'proteins']","During protein synthesis, ribosomes assemble amino acids into proteins."
"['protein synthesis', 'cells', 'enzymes', 'hormones', 'antibodies', 'pigments', 'structural components', 'surface receptors', 'ribosomes']","Because protein synthesis is an essential function of all cells (including enzymes, hormones, antibodies, pigments, structural components, and surface receptors), there are ribosomes in practically every cell."
"['Ribosomes', 'cells', 'protein']",Ribosomes are particularly abundant in cells that synthesize large amounts of protein.
"['pancreas', 'digestive enzymes', 'cells', 'ribosomes']","For example, the pancreas is responsible for creating several digestive enzymes and the cells that produce these enzymes contain many ribosomes."
"['form', 'function']","Thus, we see another example of form following function."
"['mitochondria', 'adenosine triphosphate', 'ATP']","Scientists often call mitochondria (singular = mitochondrion) the cell's ""powerhouses"" or ""energy factories"" because they are responsible for making adenosine triphosphate (ATP), the cell's main energy-carrying molecule."
"['ATP', 'cell']",ATP represents the cell's short-term stored energy.
"['Cellular respiration', 'ATP', 'glucose', 'nutrients']",Cellular respiration is the process of making ATP using the chemical energy in glucose and other nutrients.
"['mitochondria', 'oxygen', 'carbon dioxide']","In mitochondria, this process uses oxygen and produces carbon dioxide as a waste product."
"['carbon dioxide', 'byproduct']","In fact, the carbon dioxide that you exhale with every breath comes from the cellular reactions that produce carbon dioxide as a byproduct."
"['muscle cells', 'mitochondria', 'ATP']","In keeping with our theme of form following function, it is important to point out that muscle cells have a very high concentration of mitochondria that produce ATP."
"['muscle cells', 'body']",Your muscle cells need considerable energy to keep your body moving.
"['oxygen', 'cells', 'ATP']","When your cells don't get enough oxygen, they do not make much ATP."
"['lactic acid', 'ATP', 'oxygen']","Instead, producing lactic acid accompanies the small amount of ATP they make in the absence of oxygen."
