subject,relation,object,sentence
cell,contains,organelles,"If you were to remove all the organelles from a cell, would the plasma membrane and the cytoplasm be the only components left?"
cell,contains,plasma membrane,"If you were to remove all the organelles from a cell, would the plasma membrane and the cytoplasm be the only components left?"
cell,contains,cytoplasm,"If you were to remove all the organelles from a cell, would the plasma membrane and the cytoplasm be the only components left?"
cytoplasm,contains,ions,"Within the cytoplasm, there would still be ions and organic molecules, plus a network of protein fibers that help maintain the cell's shape, secure some organelles in specific positions, allow cytoplasm and vesicles to move within the cell, and enable cells within multicellular organisms to move."
cytoplasm,contains,organic molecules,"Within the cytoplasm, there would still be ions and organic molecules, plus a network of protein fibers that help maintain the cell's shape, secure some organelles in specific positions, allow cytoplasm and vesicles to move within the cell, and enable cells within multicellular organisms to move."
cytoplasm,contains,protein fibers,"Within the cytoplasm, there would still be ions and organic molecules, plus a network of protein fibers that help maintain the cell's shape, secure some organelles in specific positions, allow cytoplasm and vesicles to move within the cell, and enable cells within multicellular organisms to move."
protein fibers,maintains,cell's shape,"Within the cytoplasm, there would still be ions and organic molecules, plus a network of protein fibers that help maintain the cell's shape, secure some organelles in specific positions, allow cytoplasm and vesicles to move within the cell, and enable cells within multicellular organisms to move."
protein fibers,secures,organelles,"Within the cytoplasm, there would still be ions and organic molecules, plus a network of protein fibers that help maintain the cell's shape, secure some organelles in specific positions, allow cytoplasm and vesicles to move within the cell, and enable cells within multicellular organisms to move."
protein fibers,enables movement of,cytoplasm and vesicles,"Within the cytoplasm, there would still be ions and organic molecules, plus a network of protein fibers that help maintain the cell's shape, secure some organelles in specific positions, allow cytoplasm and vesicles to move within the cell, and enable cells within multicellular organisms to move."
multicellular organisms,contains,cells,"Within the cytoplasm, there would still be ions and organic molecules, plus a network of protein fibers that help maintain the cell's shape, secure some organelles in specific positions, allow cytoplasm and vesicles to move within the cell, and enable cells within multicellular organisms to move."
cytoskeleton,is called,network of protein fibers,"Collectively, scientists call this network of protein fibers the cytoskeleton."
cytoskeleton,contains,microfilaments,"There are three types of fibers within the cytoskeleton: microfilaments, intermediate filaments, and microtubules (Figure 4.22)."
cytoskeleton,contains,intermediate filaments,"There are three types of fibers within the cytoskeleton: microfilaments, intermediate filaments, and microtubules (Figure 4.22)."
cytoskeleton,contains,microtubules,"There are three types of fibers within the cytoskeleton: microfilaments, intermediate filaments, and microtubules (Figure 4.22)."
cytoskeleton,is part of,Figure 4.22,"There are three types of fibers within the cytoskeleton: microfilaments, intermediate filaments, and microtubules (Figure 4.22)."
we,examine,each,"Here, we will examine each."
Microfilaments,thicken cortex,around cell's inner edge,Microfilaments thicken the cortex around the cell's inner edge.
rubber bands,resist,tension,"Like rubber bands, they resist tension."
microtubules,are in,cell's interior,There are microtubules in the cell's interior where they maintain their shape by resisting compressive forces.
microtubules,maintain their shape by resisting,compressive forces,There are microtubules in the cell's interior where they maintain their shape by resisting compressive forces.
intermediate filaments,are throughout,cell,There are intermediate filaments throughout the cell that hold organelles in place.
intermediate filaments,hold,organelles,There are intermediate filaments throughout the cell that hold organelles in place.
cell,contains,intermediate filaments,There are intermediate filaments throughout the cell that hold organelles in place.
organelles,are held in place by,intermediate filaments,There are intermediate filaments throughout the cell that hold organelles in place.
cytoskeleton,contains protein fibers,microfilaments,"Of the three types of protein fibers in the cytoskeleton, microfilaments are the narrowest."
actin,is comprised of,two globular protein intertwined strands,"They function in cellular movement, have a diameter of about 7 nm, and are comprised of two globular protein intertwined strands, which we call actin (Figure 4.23)."
actin,function in,cellular movement,"They function in cellular movement, have a diameter of about 7 nm, and are comprised of two globular protein intertwined strands, which we call actin (Figure 4.23)."
actin,has a diameter of,about 7 nm,"They function in cellular movement, have a diameter of about 7 nm, and are comprised of two globular protein intertwined strands, which we call actin (Figure 4.23)."
microfilaments,also called,actin filaments,"For this reason, we also call microfilaments actin filaments."
actin,comprises,microfilaments,Two intertwined actin strands comprise microfilaments.
ATP,powers,actin,"ATP powers actin to assemble its filamentous form, which serves as a track for the movement of a motor protein we call myosin."
actin,assembles,filamentous form,"ATP powers actin to assemble its filamentous form, which serves as a track for the movement of a motor protein we call myosin."
filamentous form,serves as,track,"ATP powers actin to assemble its filamentous form, which serves as a track for the movement of a motor protein we call myosin."
track,for movement of,myosin,"ATP powers actin to assemble its filamentous form, which serves as a track for the movement of a motor protein we call myosin."
myosin,is a,motor protein,"ATP powers actin to assemble its filamentous form, which serves as a track for the movement of a motor protein we call myosin."
actin,enables to engage in,cellular events requiring motion,"This enables actin to engage in cellular events requiring motion, such as cell division in eukaryotic cells and cytoplasmic streaming, which is the cell cytoplasm's circular movement in plant cells."
actin,is involved in,cell division in eukaryotic cells,"This enables actin to engage in cellular events requiring motion, such as cell division in eukaryotic cells and cytoplasmic streaming, which is the cell cytoplasm's circular movement in plant cells."
actin,is involved in,cytoplasmic streaming,"This enables actin to engage in cellular events requiring motion, such as cell division in eukaryotic cells and cytoplasmic streaming, which is the cell cytoplasm's circular movement in plant cells."
cell cytoplasm,undergoes,circular movement,"This enables actin to engage in cellular events requiring motion, such as cell division in eukaryotic cells and cytoplasmic streaming, which is the cell cytoplasm's circular movement in plant cells."
cytoplasmic streaming,occurs in,plant cells,"This enables actin to engage in cellular events requiring motion, such as cell division in eukaryotic cells and cytoplasmic streaming, which is the cell cytoplasm's circular movement in plant cells."
actin,is plentiful in,muscle cells,Actin and myosin are plentiful in muscle cells.
myosin,is plentiful in,muscle cells,Actin and myosin are plentiful in muscle cells.
actin,slide past,myosin,"When your actin and myosin filaments slide past each other, your muscles contract."
muscles,contract,,"When your actin and myosin filaments slide past each other, your muscles contract."
Microfilaments,provide rigidity and shape to,cell,Microfilaments also provide some rigidity and shape to the cell.
cell,can depolymerize,disassemble,"They can depolymerize (disassemble) and reform quickly, thus enabling a cell to change its shape and move."
cell,can reform,quickly,"They can depolymerize (disassemble) and reform quickly, thus enabling a cell to change its shape and move."
cell,enables,change its shape,"They can depolymerize (disassemble) and reform quickly, thus enabling a cell to change its shape and move."
cell,enables,move,"They can depolymerize (disassemble) and reform quickly, thus enabling a cell to change its shape and move."
White blood cells,make use of,ability,White blood cells (your body's infection-fighting cells) make good use of this ability.
body,have,white blood cells,White blood cells (your body's infection-fighting cells) make good use of this ability.
white blood cells,fight,infection,White blood cells (your body's infection-fighting cells) make good use of this ability.
they,move to,infection site,They can move to an infection site and phagocytize the pathogen.
they,phagocytize,pathogen,They can move to an infection site and phagocytize the pathogen.
white blood cell,captures,bacteria,"To see an example of a white blood cell in action, watch a short time-lapse video of the cell capturing two bacteria."
white blood cell,seen in,time-lapse video,"To see an example of a white blood cell in action, watch a short time-lapse video of the cell capturing two bacteria."
one,engulfs,other,It engulfs one and then moves on to the other.
other,moves on to,one,It engulfs one and then moves on to the other.
Several strands of fibrous proteins,comprise,intermediate filaments,Several strands of fibrous proteins that are wound together comprise intermediate filaments (Figure 4.24).
intermediate filaments,have,Figure 4.24,Several strands of fibrous proteins that are wound together comprise intermediate filaments (Figure 4.24).
