subject,relation,object,context
cell,the smallest unit of,living thing,"A cell is the smallest unit of a living thing. Whether comprised of one cell (like bacteria) or many cells (like a human), we call it an organism."
bacteria,comprised of,one cell,"A cell is the smallest unit of a living thing. Whether comprised of one cell (like bacteria) or many cells (like a human), we call it an organism."
organism,comprised of,many cells,"A cell is the smallest unit of a living thing. Whether comprised of one cell (like bacteria) or many cells (like a human), we call it an organism."
human,an,organism,"A cell is the smallest unit of a living thing. Whether comprised of one cell (like bacteria) or many cells (like a human), we call it an organism."
cells,are,building blocks of organisms,"Thus, cells are the basic building blocks of all organisms. Several cells of one kind that interconnect with each other and perform a shared function form tissues."
cells,interconnect with,each other,"Thus, cells are the basic building blocks of all organisms. Several cells of one kind that interconnect with each other and perform a shared function form tissues."
cells,perform,shared function,"Thus, cells are the basic building blocks of all organisms. Several cells of one kind that interconnect with each other and perform a shared function form tissues."
cells,form,tissues,"Thus, cells are the basic building blocks of all organisms. Several cells of one kind that interconnect with each other and perform a shared function form tissues."
tissues,combine to form,organ,"These tissues combine to form an organ (your stomach, heart, or brain), and several organs comprise an organ system (such as the digestive system, circulatory system, or nervous system). Several systems that function together form an organism (like a human being)."
organs,comprise,organ system,"These tissues combine to form an organ (your stomach, heart, or brain), and several organs comprise an organ system (such as the digestive system, circulatory system, or nervous system). Several systems that function together form an organism (like a human being)."
"digestive system, circulatory system, and nervous system",examples of,organ systems,"These tissues combine to form an organ (your stomach, heart, or brain), and several organs comprise an organ system (such as the digestive system, circulatory system, or nervous system). Several systems that function together form an organism (like a human being)."
several systems,form,organism,"These tissues combine to form an organ (your stomach, heart, or brain), and several organs comprise an organ system (such as the digestive system, circulatory system, or nervous system). Several systems that function together form an organism (like a human being)."
scientists,group,cells,"Here, we will examine the structure and function of cells. There are many types of cells, which scientists group into one of two broad categories: prokaryotic and eukaryotic."
cells,grouped into,categories,"Here, we will examine the structure and function of cells. There are many types of cells, which scientists group into one of two broad categories: prokaryotic and eukaryotic."
categories,are,prokaryotic and eukaryotic,"Here, we will examine the structure and function of cells. There are many types of cells, which scientists group into one of two broad categories: prokaryotic and eukaryotic."
animal cells,classified as,eukaryotic cells,"For example, we classify both animal and plant cells as eukaryotic cells; whereas, we classify bacterial cells as prokaryotic. Before discussing the criteria for determining whether a cell is prokaryotic or eukaryotic, we will first examine how biologists study cells."
plant cells,classified as,eukaryotic cells,"For example, we classify both animal and plant cells as eukaryotic cells; whereas, we classify bacterial cells as prokaryotic. Before discussing the criteria for determining whether a cell is prokaryotic or eukaryotic, we will first examine how biologists study cells."
bacterial cells,classified as,prokaryotic cells,"For example, we classify both animal and plant cells as eukaryotic cells; whereas, we classify bacterial cells as prokaryotic. Before discussing the criteria for determining whether a cell is prokaryotic or eukaryotic, we will first examine how biologists study cells."
biologists,study,cells,"For example, we classify both animal and plant cells as eukaryotic cells; whereas, we classify bacterial cells as prokaryotic. Before discussing the criteria for determining whether a cell is prokaryotic or eukaryotic, we will first examine how biologists study cells."
cells,vary in,size,"Cells vary in size. With few exceptions, we cannot see individual cells with the naked eye, so scientists use microscopes (micro- = ""small""; -scope = ""to look at"") to study them."
scientists,use,microscopes to study cells,"Cells vary in size. With few exceptions, we cannot see individual cells with the naked eye, so scientists use microscopes (micro- = ""small""; -scope = ""to look at"") to study them."
microscope,is,instrument,"A microscope is an instrument that magnifies an object. We photograph most cells with a microscope, so we can call these images micrographs."
microscope,magnifies,object,"A microscope is an instrument that magnifies an object. We photograph most cells with a microscope, so we can call these images micrographs."
cells,photographed with,microscope,"A microscope is an instrument that magnifies an object. We photograph most cells with a microscope, so we can call these images micrographs."
images,called,micrographs,"A microscope is an instrument that magnifies an object. We photograph most cells with a microscope, so we can call these images micrographs."
optics,change,image orientation,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
lenses,of microscope's,change image orientation,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
user,sees,image orientation,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
specimen,is,right-side up,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
specimen,is,facing right,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
microscope slide,has,specimen,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
one,views through,microscope,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
specimen,appears,upside-down,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
specimen,appears,facing left,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
specimen,is,upside-down,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
specimen,is,facing left,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
microscope,has,lenses,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
one,views through,microscope,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
specimen,appears,right-side up,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
specimen,appears,facing right,"The optics of a microscope's lenses change the image orientation that the user sees. A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
slide,move left,appear to move right,"Similarly, if one moves the slide left while looking through the microscope, it will appear to move right, and if one moves it down, it will seem to move up. This occurs because microscopes use two sets of lenses to magnify the image."
slide,move down,seem to move up,"Similarly, if one moves the slide left while looking through the microscope, it will appear to move right, and if one moves it down, it will seem to move up. This occurs because microscopes use two sets of lenses to magnify the image."
microscopes,use,two sets of lenses,"Similarly, if one moves the slide left while looking through the microscope, it will appear to move right, and if one moves it down, it will seem to move up. This occurs because microscopes use two sets of lenses to magnify the image."
microscopes,magnify,image,"Similarly, if one moves the slide left while looking through the microscope, it will appear to move right, and if one moves it down, it will seem to move up. This occurs because microscopes use two sets of lenses to magnify the image."
two lens system,produces,inverted image,"Because of the manner by which light travels through the lenses, this two lens system produces an inverted image (binocular, or dissecting microscopes, work in a similar manner, but include an additional magnification system that makes the final image appear to be upright). To give you a sense of cell size, a typical human red blood cell is about eight millionths of a meter or eight micrometers (abbreviated as eight μm) in diameter."
binocular or dissecting microscopes,work in,similar manner,"Because of the manner by which light travels through the lenses, this two lens system produces an inverted image (binocular, or dissecting microscopes, work in a similar manner, but include an additional magnification system that makes the final image appear to be upright). To give you a sense of cell size, a typical human red blood cell is about eight millionths of a meter or eight micrometers (abbreviated as eight μm) in diameter."
binocular or dissecting microscopes,produce,inverted image,"Because of the manner by which light travels through the lenses, this two lens system produces an inverted image (binocular, or dissecting microscopes, work in a similar manner, but include an additional magnification system that makes the final image appear to be upright). To give you a sense of cell size, a typical human red blood cell is about eight millionths of a meter or eight micrometers (abbreviated as eight μm) in diameter."
binocular or dissecting microscopes,include,additional magnification system,"Because of the manner by which light travels through the lenses, this two lens system produces an inverted image (binocular, or dissecting microscopes, work in a similar manner, but include an additional magnification system that makes the final image appear to be upright). To give you a sense of cell size, a typical human red blood cell is about eight millionths of a meter or eight micrometers (abbreviated as eight μm) in diameter."
additional magnification system,makes,final image appear upright,"Because of the manner by which light travels through the lenses, this two lens system produces an inverted image (binocular, or dissecting microscopes, work in a similar manner, but include an additional magnification system that makes the final image appear to be upright). To give you a sense of cell size, a typical human red blood cell is about eight millionths of a meter or eight micrometers (abbreviated as eight μm) in diameter."
typical human red blood cell,about,eight millionths of a meter in diameter,"Because of the manner by which light travels through the lenses, this two lens system produces an inverted image (binocular, or dissecting microscopes, work in a similar manner, but include an additional magnification system that makes the final image appear to be upright). To give you a sense of cell size, a typical human red blood cell is about eight millionths of a meter or eight micrometers (abbreviated as eight μm) in diameter."
typical human red blood cell,about,eight micrometers in diameter,"Because of the manner by which light travels through the lenses, this two lens system produces an inverted image (binocular, or dissecting microscopes, work in a similar manner, but include an additional magnification system that makes the final image appear to be upright). To give you a sense of cell size, a typical human red blood cell is about eight millionths of a meter or eight micrometers (abbreviated as eight μm) in diameter."
pin head,about,two thousandths of a meter in diameter,A pin head is about two thousandths of a meter (two mm) in diameter. That means about 250 red blood cells could fit on a pinhead.
pin head,about,two mm in diameter,A pin head is about two thousandths of a meter (two mm) in diameter. That means about 250 red blood cells could fit on a pinhead.
250 red blood cells,could fit on,pin head,A pin head is about two thousandths of a meter (two mm) in diameter. That means about 250 red blood cells could fit on a pinhead.
student microscopes,are,light microscopes,Most student microscopes are light microscopes (Figure 4.2a). Visible light passes and bends through the lens system to enable the user to see the specimen.
visible light,passes through,lens system,Most student microscopes are light microscopes (Figure 4.2a). Visible light passes and bends through the lens system to enable the user to see the specimen.
visible light,bends through,lens system,Most student microscopes are light microscopes (Figure 4.2a). Visible light passes and bends through the lens system to enable the user to see the specimen.
lens system,enables,user to see specimen,Most student microscopes are light microscopes (Figure 4.2a). Visible light passes and bends through the lens system to enable the user to see the specimen.
user,sees,specimen,Most student microscopes are light microscopes (Figure 4.2a). Visible light passes and bends through the lens system to enable the user to see the specimen.
light microscopes,advantageous for,viewing living organisms,"Light microscopes are advantageous for viewing living organisms, but since individual cells are generally transparent, their components are not distinguishable unless they are colored with special stains. Staining, however, usually kills the cells."
individual cells,generally,transparent,"Light microscopes are advantageous for viewing living organisms, but since individual cells are generally transparent, their components are not distinguishable unless they are colored with special stains. Staining, however, usually kills the cells."
components of cells,not distinguishable unless,they are colored with special stains,"Light microscopes are advantageous for viewing living organisms, but since individual cells are generally transparent, their components are not distinguishable unless they are colored with special stains. Staining, however, usually kills the cells."
staining,usually kills,cells,"Light microscopes are advantageous for viewing living organisms, but since individual cells are generally transparent, their components are not distinguishable unless they are colored with special stains. Staining, however, usually kills the cells."
light microscopes,commonly used in,laboratory,Light microscopes that undergraduates commonly use in the laboratory magnify up to approximately 400 times. Two parameters that are important in microscopy are magnification and resolving power.
light microscopes,can magnify up to,approximately 400 times,Light microscopes that undergraduates commonly use in the laboratory magnify up to approximately 400 times. Two parameters that are important in microscopy are magnification and resolving power.
magnification,an important parameter in,microscopy,Light microscopes that undergraduates commonly use in the laboratory magnify up to approximately 400 times. Two parameters that are important in microscopy are magnification and resolving power.
resolving power,an important parameter in,microscopy,Light microscopes that undergraduates commonly use in the laboratory magnify up to approximately 400 times. Two parameters that are important in microscopy are magnification and resolving power.
magnification,is,process,"Magnification is the process of enlarging an object in appearance. Resolving power is the microscope's ability to distinguish two adjacent structures as separate: the higher the resolution, the better the image's clarity and detail."
magnification,enlarges,object,"Magnification is the process of enlarging an object in appearance. Resolving power is the microscope's ability to distinguish two adjacent structures as separate: the higher the resolution, the better the image's clarity and detail."
object,has appearance,enlarged,"Magnification is the process of enlarging an object in appearance. Resolving power is the microscope's ability to distinguish two adjacent structures as separate: the higher the resolution, the better the image's clarity and detail."
resolving power,is,ability,"Magnification is the process of enlarging an object in appearance. Resolving power is the microscope's ability to distinguish two adjacent structures as separate: the higher the resolution, the better the image's clarity and detail."
microscope,has resolving power,distinguish two adjacent structures,"Magnification is the process of enlarging an object in appearance. Resolving power is the microscope's ability to distinguish two adjacent structures as separate: the higher the resolution, the better the image's clarity and detail."
two adjacent structures,distinguished as separate,by microscope,"Magnification is the process of enlarging an object in appearance. Resolving power is the microscope's ability to distinguish two adjacent structures as separate: the higher the resolution, the better the image's clarity and detail."
resolution,is,higher,"Magnification is the process of enlarging an object in appearance. Resolving power is the microscope's ability to distinguish two adjacent structures as separate: the higher the resolution, the better the image's clarity and detail."
higher resolution,improves,image's clarity,"Magnification is the process of enlarging an object in appearance. Resolving power is the microscope's ability to distinguish two adjacent structures as separate: the higher the resolution, the better the image's clarity and detail."
higher resolution,improves,image's detail,"Magnification is the process of enlarging an object in appearance. Resolving power is the microscope's ability to distinguish two adjacent structures as separate: the higher the resolution, the better the image's clarity and detail."
image,has clarity,improved by higher resolution,"Magnification is the process of enlarging an object in appearance. Resolving power is the microscope's ability to distinguish two adjacent structures as separate: the higher the resolution, the better the image's clarity and detail."
image,has detail,improved by higher resolution,"Magnification is the process of enlarging an object in appearance. Resolving power is the microscope's ability to distinguish two adjacent structures as separate: the higher the resolution, the better the image's clarity and detail."
one,uses,oil immersion lenses,"When one uses oil immersion lenses to study small objects, magnification usually increases to 1,000 times. In order to gain a better understanding of cellular structure and function, scientists typically use electron microscopes."
oil immersion lenses,study,small objects,"When one uses oil immersion lenses to study small objects, magnification usually increases to 1,000 times. In order to gain a better understanding of cellular structure and function, scientists typically use electron microscopes."
magnification,increases to,"1,000 times","When one uses oil immersion lenses to study small objects, magnification usually increases to 1,000 times. In order to gain a better understanding of cellular structure and function, scientists typically use electron microscopes."
scientists,use,electron microscopes,"When one uses oil immersion lenses to study small objects, magnification usually increases to 1,000 times. In order to gain a better understanding of cellular structure and function, scientists typically use electron microscopes."
electron microscopes,typically use,gain a better understanding of cellular structure and function,"When one uses oil immersion lenses to study small objects, magnification usually increases to 1,000 times. In order to gain a better understanding of cellular structure and function, scientists typically use electron microscopes."
light microscopes,can magnify,cells up to approximately 400 times,"a) Most light microscopes in a college biology lab can magnify cells up to approximately 400 times and have a resolution of about 200 nanometers. b) Electron microscopes provide a much higher magnification, 100,000x, and a have a resolution of 50 picometers."
light microscopes,have a resolution of,about 200 nanometers,"a) Most light microscopes in a college biology lab can magnify cells up to approximately 400 times and have a resolution of about 200 nanometers. b) Electron microscopes provide a much higher magnification, 100,000x, and a have a resolution of 50 picometers."
electron microscopes,provide,"much higher magnification, 100,000x","a) Most light microscopes in a college biology lab can magnify cells up to approximately 400 times and have a resolution of about 200 nanometers. b) Electron microscopes provide a much higher magnification, 100,000x, and a have a resolution of 50 picometers."
electron microscopes,have a resolution of,50 picometers,"a) Most light microscopes in a college biology lab can magnify cells up to approximately 400 times and have a resolution of about 200 nanometers. b) Electron microscopes provide a much higher magnification, 100,000x, and a have a resolution of 50 picometers."
beam of electrons,allows for,higher magnification,"use a beam of electrons instead of a beam of light. Not only does this allow for higher magnification and, thus, more detail (Figure 4.3), it also provides higher resolving power."
beam of electrons,allows for,more detail,"use a beam of electrons instead of a beam of light. Not only does this allow for higher magnification and, thus, more detail (Figure 4.3), it also provides higher resolving power."
figure 4.3,demonstrates,use of a beam of electrons,"use a beam of electrons instead of a beam of light. Not only does this allow for higher magnification and, thus, more detail (Figure 4.3), it also provides higher resolving power."
beam of electrons,provides,higher resolving power,"use a beam of electrons instead of a beam of light. Not only does this allow for higher magnification and, thus, more detail (Figure 4.3), it also provides higher resolving power."
method,kills,specimen,"The method to prepare the specimen for viewing with an electron microscope kills the specimen. Electrons have short wavelengths (shorter than photons) that move best in a vacuum, so we cannot view living cells with an electron microscope."
electrons,have,short wavelengths,"The method to prepare the specimen for viewing with an electron microscope kills the specimen. Electrons have short wavelengths (shorter than photons) that move best in a vacuum, so we cannot view living cells with an electron microscope."
wavelengths,move best in,vacuum,"The method to prepare the specimen for viewing with an electron microscope kills the specimen. Electrons have short wavelengths (shorter than photons) that move best in a vacuum, so we cannot view living cells with an electron microscope."
electron microscope,view,cells,"The method to prepare the specimen for viewing with an electron microscope kills the specimen. Electrons have short wavelengths (shorter than photons) that move best in a vacuum, so we cannot view living cells with an electron microscope."
scanning electron microscope,moves back and forth across,cell's surface,"In a scanning electron microscope, a beam of electrons moves back and forth across a cell's surface, creating details of cell surface characteristics. In a transmission electron microscope, the electron beam penetrates the cell and provides details of a cell's internal structures."
scanning electron microscope,creates details of,cell surface characteristics,"In a scanning electron microscope, a beam of electrons moves back and forth across a cell's surface, creating details of cell surface characteristics. In a transmission electron microscope, the electron beam penetrates the cell and provides details of a cell's internal structures."
transmission electron microscope,penetrates,cell,"In a scanning electron microscope, a beam of electrons moves back and forth across a cell's surface, creating details of cell surface characteristics. In a transmission electron microscope, the electron beam penetrates the cell and provides details of a cell's internal structures."
transmission electron microscope,provides details of,cell's internal structures,"In a scanning electron microscope, a beam of electrons moves back and forth across a cell's surface, creating details of cell surface characteristics. In a transmission electron microscope, the electron beam penetrates the cell and provides details of a cell's internal structures."
electron microscopes,are,significantly more bulky and expensive than light microscopes,"As you might imagine, electron microscopes are significantly more bulky and expensive than light microscopes. a) These Salmonella bacteria appear as tiny purple dots when viewed with a light microscope."
salmonella bacteria,appear as,tiny purple dots when viewed with a light microscope,"As you might imagine, electron microscopes are significantly more bulky and expensive than light microscopes. a) These Salmonella bacteria appear as tiny purple dots when viewed with a light microscope."
salmonella bacteria,can invade,human cells,"b) This scanning electron microscope micrograph shows Salmonella bacteria (in red) invading human cells (yellow). Even though subfigure (b) shows a different Salmonella specimen than subfigure (a), you can still observe the comparative increase in magnification and detail."
scanning electron microscope micrograph,shows,salmonella bacteria in red and human cells in yellow,"b) This scanning electron microscope micrograph shows Salmonella bacteria (in red) invading human cells (yellow). Even though subfigure (b) shows a different Salmonella specimen than subfigure (a), you can still observe the comparative increase in magnification and detail."
subfigure (b),shows,different salmonella specimen than subfigure (a),"b) This scanning electron microscope micrograph shows Salmonella bacteria (in red) invading human cells (yellow). Even though subfigure (b) shows a different Salmonella specimen than subfigure (a), you can still observe the comparative increase in magnification and detail."
microscopes,are,complex,"For another perspective on cell size, try the HowBig interactive at this site. The microscopes we use today are far more complex than those that Dutch shopkeeper Antony van Leeuwenhoek, used in the 1600s."
microscopes,used today,more complex than those,"For another perspective on cell size, try the HowBig interactive at this site. The microscopes we use today are far more complex than those that Dutch shopkeeper Antony van Leeuwenhoek, used in the 1600s."
antony van leeuwenhoek,used,microscopes in the 1600s,"For another perspective on cell size, try the HowBig interactive at this site. The microscopes we use today are far more complex than those that Dutch shopkeeper Antony van Leeuwenhoek, used in the 1600s."
van leeuwenhoek,was skilled in,crafting lenses,"Skilled in crafting lenses, van Leeuwenhoek observed the movements of single-celled organisms, which he collectively termed ""animalcules."" In the 1665 publication Micrographia, experimental scientist Robert Hooke coined the term ""cell"" for the box-like structures he observed when viewing cork tissue through a lens."
van leeuwenhoek,observed,movements of single-celled organisms,"Skilled in crafting lenses, van Leeuwenhoek observed the movements of single-celled organisms, which he collectively termed ""animalcules."" In the 1665 publication Micrographia, experimental scientist Robert Hooke coined the term ""cell"" for the box-like structures he observed when viewing cork tissue through a lens."
van leeuwenhoek,termed,"single-celled organisms ""animalcules""","Skilled in crafting lenses, van Leeuwenhoek observed the movements of single-celled organisms, which he collectively termed ""animalcules."" In the 1665 publication Micrographia, experimental scientist Robert Hooke coined the term ""cell"" for the box-like structures he observed when viewing cork tissue through a lens."
robert hooke,coined,"term ""cell""","Skilled in crafting lenses, van Leeuwenhoek observed the movements of single-celled organisms, which he collectively termed ""animalcules."" In the 1665 publication Micrographia, experimental scientist Robert Hooke coined the term ""cell"" for the box-like structures he observed when viewing cork tissue through a lens."
robert hooke,observed,box-like structures when viewing cork tissue through a lens,"Skilled in crafting lenses, van Leeuwenhoek observed the movements of single-celled organisms, which he collectively termed ""animalcules."" In the 1665 publication Micrographia, experimental scientist Robert Hooke coined the term ""cell"" for the box-like structures he observed when viewing cork tissue through a lens."
van leeuwenhoek,discovered,bacteria,"In the 1670s, van Leeuwenhoek discovered bacteria and protozoa. Later advances in lenses, microscope construction, and staining techniques enabled other scientists to see some components inside cells."
van leeuwenhoek,discovered,protozoa,"In the 1670s, van Leeuwenhoek discovered bacteria and protozoa. Later advances in lenses, microscope construction, and staining techniques enabled other scientists to see some components inside cells."
advances,enabled,scientists,"In the 1670s, van Leeuwenhoek discovered bacteria and protozoa. Later advances in lenses, microscope construction, and staining techniques enabled other scientists to see some components inside cells."
lenses,enabled,scientists,"In the 1670s, van Leeuwenhoek discovered bacteria and protozoa. Later advances in lenses, microscope construction, and staining techniques enabled other scientists to see some components inside cells."
